Driver,Lap Times,Current Tyre
Max Verstappen,01:38.576,S
Fernando Alonso,01:39.109,S
Carlos Sainz,01:38.984,S
Charles Leclerc,01:38.896,S
Sergio Perez,01:38.803,S
Lando Norris,01:39.052,S
Lewis Hamilton,01:39.281,S
Oscar Piastri,01:39.229,S
George Russell,01:39.167,S
Lance Stroll,01:39.350,S
Yuki Tsunoda,01:39.778,S
Nico Hulkenburg,01:39.912,H
Alex Albon,01:39.827,M
Kevin Magnussen,01:39.941,M
Valterri Bottas,01:39.604,M
Daniel Ricciardo,01:39.930,H
Guanyu Zhou,01:39.821,S
Logan Sargeant,01:40.015,M
Pierre Gasly,01:40.448,M
Esteban Ocon,01:40.509,H